gene_id	SYMBOL	GENENAME	GENETYPE	SRR10315781_TPM	SRR10315782_TPM
ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	protein-coding	2.66	3.22
ENSG00000004700	RECQL	RecQ like helicase	protein-coding	48.45	45.14
ENSG00000004766	VPS50	VPS50 subunit of EARP/GARPII complex	protein-coding	10.04	11.58
ENSG00000004776	HSPB6	heat shock protein family B (small) member 6	protein-coding	0.4	1.06
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33	protein-coding	7.04	9
ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	protein-coding	237.26	251.12
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4	protein-coding	2.39	2.35
ENSG00000004809	SLC22A16	solute carrier family 22 member 16	protein-coding	0.08	0.07
ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10	protein-coding	0.16	0.93
ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5	protein-coding	0	0
ENSG00000004848	ARX	aristaless related homeobox	protein-coding	0	0
ENSG00000004864	SLC25A13	solute carrier family 25 member 13	protein-coding	19.66	19.77
ENSG00000004866	ST7,ST7-OT3	suppression of tumorigenicity 7,ST7 overlapping transcript 3	protein-coding,ncRNA	21.77	21.53
ENSG00000004897	CDC27	cell division cycle 27	protein-coding	55.63	43.73
ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	protein-coding	0	0
ENSG00000004948	CALCR	calcitonin receptor	protein-coding	0	0
ENSG00000004961	HCCS	holocytochrome c synthase	protein-coding	30.33	30.96
ENSG00000004975	DVL2	dishevelled segment polarity protein 2	protein-coding	58.25	52.28
ENSG00000005001	PRSS22	serine protease 22	protein-coding	0	0.11
ENSG00000005007	UPF1	UPF1 RNA helicase and ATPase	protein-coding	48.71	50.34
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2	protein-coding	3.91	4.17
ENSG00000005022	SLC25A5	solute carrier family 25 member 5	protein-coding	472.51	476.18
ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative subunit beta	protein-coding	44.95	28.54
ENSG00000005073	HOXA11	homeobox A11	protein-coding	0	0
ENSG00000005075	POLR2J	RNA polymerase II subunit J	protein-coding	87.36	90.5
ENSG00000005100	DHX33	DEAH-box helicase 33	protein-coding	11.38	11.25
ENSG00000005102	MEOX1	mesenchyme homeobox 1	protein-coding	0	0
ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A	protein-coding	0.02	0.08
ENSG00000005156	LIG3	DNA ligase 3	protein-coding	9	7.8
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3	protein-coding	29.09	23.68
ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3	protein-coding	0.13	1.01
ENSG00000005189	REXO5	RNA exonuclease 5	protein-coding	8.06	7.37
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1	protein-coding	56.66	60.53
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B	protein-coding	36.16	33.94
ENSG00000005238	ATOSB	atos homolog B	protein-coding	11.31	9.44
ENSG00000005243	COPZ2	COPI coat complex subunit zeta 2	protein-coding	10.76	11.58
ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	protein-coding	11.04	10.52
ENSG00000005302	MSL3	MSL complex subunit 3	protein-coding	20.14	21.79
ENSG00000005339	CREBBP	CREB binding protein	protein-coding	13.91	13.51
ENSG00000005379	TSPOAP1	TSPO associated protein 1	protein-coding	0	0
ENSG00000005381	MPO	myeloperoxidase	protein-coding	0	0
ENSG00000005421	PON1	paraoxonase 1	protein-coding	0	0
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2	protein-coding	19.69	18.88
ENSG00000005448	WDR54	WD repeat domain 54	protein-coding	82.04	84.35
ENSG00000005469	CROT	carnitine O-octanoyltransferase	protein-coding	8.88	8.89
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4	protein-coding	0.03	0.26
ENSG00000005483	KMT2E	lysine methyltransferase 2E (inactive)	protein-coding	10.13	11.2
ENSG00000005486	RHBDD2	rhomboid domain containing 2	protein-coding	54.76	59.72
ENSG00000005513	SOX8	SRY-box transcription factor 8	protein-coding	0	0
ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase	protein-coding	16.27	16.42
ENSG00000005801	ZNF195	zinc finger protein 195	protein-coding	10.64	9.34
ENSG00000005810	MYCBP2	MYC binding protein 2	protein-coding	28	29.87
ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3	protein-coding	37.31	34.42
ENSG00000005844	ITGAL	integrin subunit alpha L	protein-coding	0.03	0
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2	protein-coding	32.49	28.29
ENSG00000005884	ITGA3	integrin subunit alpha 3	protein-coding	121.25	116.98
ENSG00000005889	ZFX	zinc finger protein X-linked	protein-coding	12.47	14.54
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2	protein-coding	56.92	57.06
ENSG00000005961	ITGA2B	integrin subunit alpha 2b	protein-coding	0.34	0.33
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4	protein-coding	0	0
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1	protein-coding	66.57	68.39
ENSG00000006015	REX1BD	required for excision 1-B domain containing	protein-coding	68.41	69.06
ENSG00000006016	CRLF1	cytokine receptor like factor 1	protein-coding	2.66	2.9
ENSG00000006025	OSBPL7	oxysterol binding protein like 7	protein-coding	6.7	7.35
ENSG00000006042	TMEM98	transmembrane protein 98	protein-coding	7.74	6.95
ENSG00000006047	YBX2	Y-box binding protein 2	protein-coding	0	0
ENSG00000006059	KRT33A	keratin 33A	protein-coding	0	0
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14	protein-coding	6.15	5.21
ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8	protein-coding	0	0
ENSG00000006116	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	protein-coding	0	0
ENSG00000006118	TMEM132A	transmembrane protein 132A	protein-coding	45.5	45.72
ENSG00000006125	AP2B1	adaptor related protein complex 2 subunit beta 1	protein-coding	84.82	83.36
ENSG00000006128	TAC1	tachykinin precursor 1	protein-coding	0	0
ENSG00000006194	ZNF263	zinc finger protein 263	protein-coding	8.41	10.61
ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1	protein-coding	0.53	0.29
ENSG00000006282	SPATA20	spermatogenesis associated 20	protein-coding	34.2	28.38
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G	protein-coding	0.03	0.02
ENSG00000006327	TNFRSF12A	TNF receptor superfamily member 12A	protein-coding	246.05	258.03
ENSG00000006377	DLX6	distal-less homeobox 6	protein-coding	0	0
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9	protein-coding	0.19	0.2
ENSG00000006451	RALA	RAS like proto-oncogene A	protein-coding	33.75	33.29
ENSG00000006453	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1	protein-coding	6.92	6.05
ENSG00000006459	KDM7A	lysine demethylase 7A	protein-coding	0.78	0.64
ENSG00000006468	ETV1	ETS variant transcription factor 1	protein-coding	1.33	1.12
ENSG00000006530	AGK	acylglycerol kinase	protein-coding	41.58	38.6
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1	protein-coding	45.35	46.14
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22	protein-coding	0	0.08
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2	protein-coding	16.9	16.79
ENSG00000006606	CCL26	C-C motif chemokine ligand 26	protein-coding	0	0
ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	protein-coding	18.41	13.77
ENSG00000006611	USH1C	USH1 protein network component harmonin	protein-coding	0	0
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase	protein-coding	72.61	64.62
ENSG00000006634	DBF4	DBF4 zinc finger	protein-coding	19.95	22.38
ENSG00000006638	TBXA2R	thromboxane A2 receptor	protein-coding	6.17	6.72
ENSG00000006652	IFRD1	interferon related developmental regulator 1	protein-coding	32.62	34.23
ENSG00000006659	LGALS14	galectin 14	protein-coding	0	0
ENSG00000006695	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	protein-coding	9.16	9.04
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1	protein-coding	15.86	17.04
ENSG00000006712	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	protein-coding	61.5	61.45
ENSG00000006715	VPS41	VPS41 subunit of HOPS complex	protein-coding	20.08	17.86
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44	protein-coding	0.24	0.07
ENSG00000006744	ELAC2	elaC ribonuclease Z 2	protein-coding	63.48	56.61
ENSG00000006747	SCIN	scinderin	protein-coding	0.01	0.02
ENSG00000006756	ARSD	arylsulfatase D	protein-coding	8.42	7.6
ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4	protein-coding	18.81	26.58
ENSG00000006788	MYH13	myosin heavy chain 13	protein-coding	0	0
ENSG00000006831	ADIPOR2	adiponectin receptor 2	protein-coding	41.56	42.34
ENSG00000006837	CDKL3	cyclin dependent kinase like 3	protein-coding	1.19	0.92
ENSG00000007001	UPP2	uridine phosphorylase 2	protein-coding	0	0
ENSG00000007038	PRSS21	serine protease 21	protein-coding	0	0
ENSG00000007047	MARK4	microtubule affinity regulating kinase 4	protein-coding	22.29	16.81
ENSG00000007062	PROM1	prominin 1	protein-coding	0	0
ENSG00000007080	CCDC124	coiled-coil domain containing 124	protein-coding	135.18	141.82
ENSG00000007129	CEACAM21	CEA cell adhesion molecule 21	protein-coding	0	0
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	protein-coding	45.98	48.28
ENSG00000007171	NOS2	nitric oxide synthase 2	protein-coding	0.02	0
ENSG00000007174	DNAH9	dynein axonemal heavy chain 9	protein-coding	0	0
ENSG00000007202	BLTP2	bridge-like lipid transfer protein family member 2	protein-coding	32.16	33.44
ENSG00000007216	SLC13A2	solute carrier family 13 member 2	protein-coding	0	0
ENSG00000007237	GAS7	growth arrest specific 7	protein-coding	0	0
ENSG00000007255	TRAPPC6A	trafficking protein particle complex subunit 6A	protein-coding	36.82	38.56
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase	protein-coding	0	0
ENSG00000007306	CEACAM7	CEA cell adhesion molecule 7	protein-coding	0	0
ENSG00000007312	CD79B	CD79b molecule	protein-coding	2.31	0.2
ENSG00000007314	SCN4A	sodium voltage-gated channel alpha subunit 4	protein-coding	0	0
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like	protein-coding	22.23	20.15
ENSG00000007350	TKTL1	transketolase like 1	protein-coding	0	0.05
ENSG00000007372	PAX6	paired box 6	protein-coding	0.14	0.21
ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1	protein-coding	35.37	31.81
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1	protein-coding	42.89	43.47
ENSG00000007392	LUC7L	LUC7 like	protein-coding	45.39	41.53
ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein-coding	0.21	0.18
ENSG00000007516	BAIAP3	BAI1 associated protein 3	protein-coding	0.14	0.58
ENSG00000007520	TSR3	TSR3 ribosome maturation factor	protein-coding	71.59	60.39
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q	protein-coding	18.79	20.33
ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1	protein-coding	8.55	6.8
ENSG00000007866	TEAD3	TEA domain transcription factor 3	protein-coding	11.51	9.57
ENSG00000007908	SELE	selectin E	protein-coding	0.02	0
ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	protein-coding	30.65	33.99
ENSG00000007933	FMO3	flavin containing dimethylaniline monoxygenase 3	protein-coding	0	0
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein	protein-coding	6.8	6.7
ENSG00000007952	NOX1	NADPH oxidase 1	protein-coding	0.03	0
ENSG00000007968	E2F2	E2F transcription factor 2	protein-coding	1.02	1.38
ENSG00000008018	PSMB1	proteasome 20S subunit beta 1	protein-coding	406.55	390.62
ENSG00000008056	SYN1	synapsin I	protein-coding	0.4	0.22
ENSG00000008083	JARID2	jumonji and AT-rich interaction domain containing 2	protein-coding	4.94	4.95
ENSG00000008086	CDKL5	cyclin dependent kinase like 5	protein-coding	0.53	0.51
ENSG00000008118	CAMK1G	calcium/calmodulin dependent protein kinase IG	protein-coding	0	0
ENSG00000008128	CDK11A	cyclin dependent kinase 11A	protein-coding	40.98	38.04
ENSG00000008130	NADK	NAD kinase	protein-coding	61.14	64.76
ENSG00000008196	TFAP2B	transcription factor AP-2 beta	protein-coding	0	0
ENSG00000008197	TFAP2D	transcription factor AP-2 delta	protein-coding	0	0
ENSG00000008226	DLEC1	DLEC1 cilia and flagella associated protein	protein-coding	0.06	0.19
ENSG00000008256	CYTH3	cytohesin 3	protein-coding	45.48	48.09
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22	protein-coding	2.58	2.55
ENSG00000008282	SYPL1	synaptophysin like 1	protein-coding	86.92	85.51
ENSG00000008283	CYB561	cytochrome b561	protein-coding	2.66	2.7
ENSG00000008294	SPAG9	sperm associated antigen 9	protein-coding	31.49	33.52
ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	protein-coding	2.11	2.05
ENSG00000008311	AASS	aminoadipate-semialdehyde synthase	protein-coding	19.26	18.44
ENSG00000008323	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6	protein-coding	0.1	0.05
ENSG00000008324	SS18L2	SS18 like 2	protein-coding	29.53	23.02
ENSG00000008382	MPND	MPN domain containing	protein-coding	16.29	14.58
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1	protein-coding	50.78	51.65
ENSG00000008405	CRY1	cryptochrome circadian regulator 1	protein-coding	16.97	18.08
ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1	protein-coding	0	0
ENSG00000008441	NFIX	nuclear factor I X	protein-coding	25.43	22.84
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding	4.08	3.04
ENSG00000008516	MMP25	matrix metallopeptidase 25	protein-coding	0.29	0.46
ENSG00000008517	IL32	interleukin 32	protein-coding	313.83	326.94
ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting	protein-coding	49.65	49.96
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	protein-coding	0.77	0.96
ENSG00000008838	MED24	mediator complex subunit 24	protein-coding	65.76	62.5
ENSG00000008853	RHOBTB2	Rho related BTB domain containing 2	protein-coding	13.51	11.54
ENSG00000008869	HEATR5B	HEAT repeat containing 5B	protein-coding	7.31	7.17
ENSG00000008952	SEC62	SEC62 homolog, preprotein translocation factor	protein-coding	46.21	47.4
ENSG00000008988	RPS20	ribosomal protein S20	protein-coding	3366.12	3423.92
ENSG00000009307	CSDE1	cold shock domain containing E1	protein-coding	180.19	173.67
ENSG00000009335	UBE3C	ubiquitin protein ligase E3C	protein-coding	34.79	34.64
ENSG00000009413	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	protein-coding	11.13	11.42
ENSG00000009694	TENM1	teneurin transmembrane protein 1	protein-coding	0	0
ENSG00000009709	PAX7	paired box 7	protein-coding	0	0
ENSG00000009724	MASP2	MBL associated serine protease 2	protein-coding	2.61	2.81
ENSG00000009765	IYD	iodotyrosine deiodinase	protein-coding	0	0
ENSG00000009780	FAM76A	family with sequence similarity 76 member A	protein-coding	4.45	4.87
ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3	protein-coding	0.1	0
ENSG00000009830	POMT2	protein O-mannosyltransferase 2	protein-coding	9.35	8.01
ENSG00000009844	VTA1	vesicle trafficking 1	protein-coding	52.6	54.03
ENSG00000009950	MLXIPL	MLX interacting protein like	protein-coding	0	0
ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain 1B	protein-coding	34.19	31.12
ENSG00000010017	RANBP9	RAN binding protein 9	protein-coding	32.17	28.62
ENSG00000010030	ETV7	ETS variant transcription factor 7	protein-coding	8.93	7.79
ENSG00000010072	SPRTN	SprT-like N-terminal domain	protein-coding	9.33	8.74
ENSG00000010165	METTL13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	protein-coding	25.35	21.39
ENSG00000010219	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	protein-coding	21.47	25.38
ENSG00000010244	ZNF207	zinc finger protein 207	protein-coding	128.5	127.18
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein 1	protein-coding	334.4	316.04
ENSG00000010270	STARD3NL	STARD3 N-terminal like	protein-coding	55.3	55.16
ENSG00000010278	CD9	CD9 molecule	protein-coding	642.23	646.31
ENSG00000010282	HHATL	hedgehog acyltransferase like	protein-coding	0	0
ENSG00000010292	NCAPD2	non-SMC condensin I complex subunit D2	protein-coding	100.31	103.48
ENSG00000010295	IFFO1	intermediate filament family orphan 1	protein-coding	25.12	25.69
ENSG00000010310	GIPR	gastric inhibitory polypeptide receptor	protein-coding	0.54	1.17
ENSG00000010318	PHF7	PHD finger protein 7	protein-coding	11	10.03
ENSG00000010319	SEMA3G	semaphorin 3G	protein-coding	0.24	0.3
ENSG00000010322	NISCH	nischarin	protein-coding	46.68	44.86
ENSG00000010327	STAB1	stabilin 1	protein-coding	8.06	7.24
ENSG00000010361	FUZ	fuzzy planar cell polarity protein	protein-coding	28.03	25.09
ENSG00000010379	SLC6A13	solute carrier family 6 member 13	protein-coding	0	0.57
ENSG00000010404	IDS	iduronate 2-sulfatase	protein-coding	19.31	20.16
ENSG00000010438	PRSS3	serine protease 3	protein-coding	23.65	23.12
ENSG00000010539	ZNF200	zinc finger protein 200	protein-coding	6.82	6.28
ENSG00000010610	CD4	CD4 molecule	protein-coding	0	0
ENSG00000010626	LRRC23	leucine rich repeat containing 23	protein-coding	7.78	9.07
ENSG00000010671	BTK	Bruton tyrosine kinase	protein-coding	0.04	0
ENSG00000010704	HFE	homeostatic iron regulator	protein-coding	9.1	7.59
ENSG00000010803	SCMH1	Scm polycomb group protein homolog 1	protein-coding	23.41	20.12
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase	protein-coding	66.73	65.29
ENSG00000010818	HIVEP2	HIVEP zinc finger 2	protein-coding	7.65	7.55
ENSG00000010932	FMO1	flavin containing dimethylaniline monoxygenase 1	protein-coding	0	0
ENSG00000011007	ELOA	elongin A	protein-coding	20	19.55
ENSG00000011009	LYPLA2	lysophospholipase 2	protein-coding	75.87	87.62
ENSG00000011021	CLCN6	chloride voltage-gated channel 6	protein-coding	10.45	9.14
ENSG00000011028	MRC2	mannose receptor C type 2	protein-coding	11.73	12.43
ENSG00000011052	NME1-NME2	NME1-NME2 readthrough	protein-coding	9.8	11.21
ENSG00000011083	SLC6A7	solute carrier family 6 member 7	protein-coding	0	0
ENSG00000011105	TSPAN9	tetraspanin 9	protein-coding	20.65	19.87
ENSG00000011114	BTBD7	BTB domain containing 7	protein-coding	8.65	8.11
ENSG00000011132	APBA3	amyloid beta precursor protein binding family A member 3	protein-coding	26.03	22.58
ENSG00000011143	MKS1	MKS transition zone complex subunit 1	protein-coding	9.99	11.32
ENSG00000011198	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	protein-coding	8.35	10.7
ENSG00000011201	ANOS1	anosmin 1	protein-coding	0	0
ENSG00000011243	AKAP8L	A-kinase anchoring protein 8 like	protein-coding	43.67	46.19
ENSG00000011258	MBTD1	mbt domain containing 1	protein-coding	6.89	6.36
ENSG00000011260	UTP18	UTP18 small subunit processome component	protein-coding	45.73	47.29
ENSG00000011275	RNF216	ring finger protein 216	protein-coding	18.04	17.81
ENSG00000011295	TTC19	tetratricopeptide repeat domain 19	protein-coding	27.5	25.66
ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1	protein-coding	264.32	265.34
ENSG00000011332	DPF1	double PHD fingers 1	protein-coding	2.05	2.22
ENSG00000011347	SYT7	synaptotagmin 7	protein-coding	0.06	0.04
ENSG00000011376	LARS2	leucyl-tRNA synthetase 2, mitochondrial	protein-coding	13.03	11.89
ENSG00000011405	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	protein-coding	17.84	18.17
ENSG00000011422	PLAUR	plasminogen activator, urokinase receptor	protein-coding	63.61	66.06
ENSG00000011426	ANLN	anillin, actin binding protein	protein-coding	126.74	126.63
ENSG00000011451	WIZ	WIZ zinc finger	protein-coding	20.05	20.7
ENSG00000011454	RABGAP1	RAB GTPase activating protein 1	protein-coding	16.85	16.47
ENSG00000011465	DCN	decorin	protein-coding	0	0
ENSG00000011478	QPCTL	glutaminyl-peptide cyclotransferase like	protein-coding	9.52	10.33
ENSG00000011485	PPP5C	protein phosphatase 5 catalytic subunit	protein-coding	89.83	84.04
ENSG00000011523	CEP68	centrosomal protein 68	protein-coding	8.9	7.26
ENSG00000011566	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	protein-coding	19.68	21.5
ENSG00000011590	ZBTB32	zinc finger and BTB domain containing 32	protein-coding	0.08	0
ENSG00000011600	TYROBP	transmembrane immune signaling adaptor TYROBP	protein-coding	0	0
ENSG00000011638	LDAF1	lipid droplet assembly factor 1	protein-coding	9.7	7.65
ENSG00000011677	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3	protein-coding	0	0
ENSG00000012048	BRCA1	BRCA1 DNA repair associated	protein-coding	27.02	23.21
ENSG00000012061	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	protein-coding	96.18	91.49
ENSG00000012124	CD22	CD22 molecule	protein-coding	0	0
ENSG00000012171	SEMA3B	semaphorin 3B	protein-coding	3.12	3.18
ENSG00000012174	MBTPS2	membrane bound transcription factor peptidase, site 2	protein-coding	11.26	12.1
ENSG00000012211	PRICKLE3	prickle planar cell polarity protein 3	protein-coding	10.69	13.56
ENSG00000012223	LTF	lactotransferrin	protein-coding	1.46	0.13
ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3	protein-coding	20.29	20.66
ENSG00000012504	NR1H4	nuclear receptor subfamily 1 group H member 4	protein-coding	0	0
ENSG00000012660	ELOVL5	ELOVL fatty acid elongase 5	protein-coding	77.82	75.9
ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase	protein-coding	2.41	1.24
ENSG00000012817	KDM5D	lysine demethylase 5D	protein-coding	0	0
ENSG00000012822	CALCOCO1	calcium binding and coiled-coil domain 1	protein-coding	55.85	59.34
ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7	protein-coding	37.21	36.73
ENSG00000012983	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	protein-coding	21.56	22.94
ENSG00000013016	EHD3	EH domain containing 3	protein-coding	0.84	0.9
